ObjectId,Name
1179320,Satoria Hotel Yogyakarta
35720066,Malyabhara Hotel
574515,Gallery Prawirotaman Hotel
1095071,Allstay Ecotel Yogyakarta
30671178,Aveta Hotel Malioboro
984184,Tjokro Style Yogyakarta
5845819,Grand Kangen Hotel Urip Sumoharjo
686614,Hotel FortunaGrande Seturan Yogyakarta   (formerly - Hotel Dafam Fortuna Seturan Yogyakarta)
489236,Hotel FortunaGrande Malioboro - Formerly Hotel Dafam Fortuna
930021,Hotel Neo Malioboro by ASTON
6949508,RedDoorz near Malioboro Mall 2
34519289,House Of Cokro near Malioboro Area RedPartner
28935313,Villa Dora Jogja RedPartner near Malioboro Area
24247311,RedDoorz Plus near Malioboro Area
11056014,RedDoorz near Malioboro Tugu Station Jogja 2
11132552,PORTA by Ambarrukmo
2690414,YATS Colony
3582399,ARTOTEL Yogyakarta
291636,ARTOTEL Suites Bianti Yogyakarta
16341960,Arte Hotel Yogyakarta
2284303,GRAMM HOTEL by Ambarrukmo - Formerly Grand Ambarrukmo Yogyakarta
18113368,The Manohara Hotel Yogyakarta
335858,The Rich Jogja Hotel
32613277,Grand Dafam Signature Intl Airport Yogyakarta
29186740,Grand Zuri Malioboro Jogjakarta
21915259,Grand Rohan Jogja
2100526,Grand Keisha Yogyakarta
1197959,Gaia Cosmo Hotel
1269976,Swiss-Belboutique Yogyakarta
84796,Sahid Raya Hotel & Convention
1199795,Lafayette Boutique Hotel
28878249,"KIMAYA Sudirman Yogyakarta, By HARRIS"
5543,Kimaya Sudirman Yogyakarta by Harris
1594855,Platinum Adisucipto Hotel & Conference Center
161777,Hotel Santika Premiere Jogja
864114,The Alana Yogyakarta Hotel & Convention Center
871033,The Alana Hotel & Conference Center Malioboro Yogyakarta by ASTON
9392435,Novotel Suites Yogyakarta Malioboro
1157339,The Atrium Hotel and Resort Yogyakarta
583652,Crystal Lotus Hotel Yogyakarta
5500,Hotel New Saphir Yogyakarta
2159407,INNSiDE by Meliá Yogyakarta
5750230,Sofia Boutique Residence
788197,Indoluxe Hotel Jogjakarta
409746,Hotel Tentrem Yogyakarta
36454967,Omah Tentrem Syariah
496897,Pool Bar at Hotel Tentrem
1410488,Joglo Ayem Tentrem
30161742,Ngomah Tentrem
40678332,Homestay Ayem Tentrem
544602,Eastparc Hotel Yogyakarta
2989957,Yogyakarta Marriott Hotel
291636,ARTOTEL Suites Bianti Yogyakarta
1900066,Royal Ambarukmo Garden
289515,Royal Ambarrukmo Yogyakarta Hotel
37683749,Royal Ambarrukmo Yogyakarta - CHSE Certified
48671,The Phoenix Hotel Yogyakarta
100215,Hyatt Regency Yogyakarta
1900589,Hyatt Regency Golf
168,Melia Purosani Yogyakarta
294754,Jambuluwuk Malioboro Hotel Yogyakarta
1254420,Grand Mercure Yogyakarta Adi Sucipto
45554,Sheraton Mustika Yogyakarta Resort & Spa
